手法,クラスター数,AUC,パラメータ1,パラメータ2
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",auc,"-5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0, -9.5, -10.0",無し
RSCCMM-CF,87,0.8538677819124194,-10.0,0
RSCCMM-CF,88,0.8545630108312844,-9.0,0
RSCCMM-CF,89,0.8541128148049705,-8.5,0
RSCCMM-CF,90,0.8537971792145657,-9.0,0
RSCCMM-CF,91,0.8541485314638846,-9.5,0
RSCCMM-CF,92,0.8542133198219151,-9.0,0
RSCCMM-CF,93,0.854167635723304,-9.5,0
RSCCMM-CF,94,0.8542826765898066,-10.0,0
RSCCMM-CF,95,0.8545933284603627,-8.5,0
RSCCMM-CF,96,0.854769004585022,-9.5,0
RSCCMM-CF,97,0.8547868629144795,-9.0,0
RSCCMM-CF,98,0.8539990198684297,-10.0,0
RSCCMM-CF,99,0.854463751744302,-9.5,0
RSCCMM-CF,100,0.855006146587813,-9.5,0
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",auc,1.0,0.0
HCCMM-CF,1,0.8416464549139476,1.0,0.0
HCCMM-CF,2,0.8271907601834009,1.0,0.0
HCCMM-CF,3,0.8177628081600107,1.0,0.0
HCCMM-CF,4,0.8214258422486544,1.0,0.0
HCCMM-CF,5,0.8195602697853678,1.0,0.0
HCCMM-CF,6,0.8031135789753472,1.0,0.0
HCCMM-CF,7,0.8062225895408333,1.0,0.0
HCCMM-CF,8,0.7948293906571865,1.0,0.0
HCCMM-CF,9,0.8076832347664297,1.0,0.0
HCCMM-CF,10,0.8056685660176756,1.0,0.0
HCCMM-CF,11,0.7973013157020399,1.0,0.0
HCCMM-CF,12,0.800905791082464,1.0,0.0
HCCMM-CF,13,0.801112200146189,1.0,0.0
HCCMM-CF,14,0.8018418997940063,1.0,0.0
HCCMM-CF,15,0.7989579872416772,1.0,0.0
HCCMM-CF,16,0.7865572463286596,1.0,0.0
HCCMM-CF,17,0.8006200578111503,1.0,0.0
HCCMM-CF,18,0.7925941923051365,1.0,0.0
HCCMM-CF,19,0.791389378031763,1.0,0.0
HCCMM-CF,20,0.7863034919263738,1.0,0.0
HCCMM-CF,21,0.784003089906306,1.0,0.0
HCCMM-CF,22,0.7801685327928766,1.0,0.0
HCCMM-CF,23,0.7846036281480496,1.0,0.0
HCCMM-CF,24,0.7860871154229516,1.0,0.0
HCCMM-CF,25,0.7833838627151305,1.0,0.0
HCCMM-CF,26,0.7818837630407337,1.0,0.0
HCCMM-CF,27,0.7765702870622633,1.0,0.0
HCCMM-CF,28,0.7840122267260283,1.0,0.0
HCCMM-CF,29,0.7760706691474516,1.0,0.0
HCCMM-CF,30,0.7757778756063526,1.0,0.0
HCCMM-CF,31,0.7841987009103594,1.0,0.0
HCCMM-CF,32,0.777642202139677,1.0,0.0
HCCMM-CF,33,0.7687180211309721,1.0,0.0
HCCMM-CF,34,0.7740140540899727,1.0,0.0
HCCMM-CF,35,0.7828389760116952,1.0,0.0
HCCMM-CF,36,0.771139278357366,1.0,0.0
HCCMM-CF,37,0.7708307030367466,1.0,0.0
