手法,クラスター数,AUC,パラメータ1,パラメータ2
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",auc,"-5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0, -9.5, -10.0",無し
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",auc,"1.2, 1.25, 1.3, 1.35, 1.4000000000000001, 1.4500000000000002, 1.5000000000000002, 1.5500000000000003, 1.6000000000000003","0, -1, -2, -3, -4, -5, -6, -7, -8, -9"
RCCMM-CF,1,0.8416464549139476,1.2,0
RCCMM-CF,2,0.8422303807561964,1.25,-8
RCCMM-CF,3,0.8429098278955411,1.35,-5
RCCMM-CF,4,0.8433355206326002,1.25,-4
RCCMM-CF,5,0.8439377201142932,1.5000000000000002,0
RCCMM-CF,6,0.8442375739251776,1.2,0
RCCMM-CF,7,0.8459179181340953,1.3,-9
RCCMM-CF,8,0.8455358329457108,1.2,-9
RCCMM-CF,9,0.8451965246860256,1.2,-9
RCCMM-CF,10,0.845093943119144,1.2,-8
RCCMM-CF,11,0.8452235198352049,1.3,-2
RCCMM-CF,12,0.8452243504551797,1.3,-5
RCCMM-CF,13,0.8450391222008106,1.25,-7
RCCMM-CF,14,0.8469653299222539,1.25,-5
RCCMM-CF,15,0.8467418931490464,1.25,-8
RCCMM-CF,16,0.8456840986112034,1.3,-8
RCCMM-CF,17,0.8461965911356236,1.2,-3
RCCMM-CF,18,0.8466658914213567,1.25,-3
RCCMM-CF,19,0.8458900923649411,1.4500000000000002,-1
RCCMM-CF,20,0.8465317462954349,1.4500000000000002,-6
RCCMM-CF,21,0.847710396039604,1.3,-6
RCCMM-CF,22,0.8465437902850688,1.2,-7
RCCMM-CF,23,0.8470135058807895,1.3,-5
RCCMM-CF,24,0.8487764967771945,1.2,-7
RCCMM-CF,25,0.846932105123264,1.35,-2
RCCMM-CF,26,0.8473474151106386,1.2,-9
RCCMM-CF,27,0.8472631071832015,1.25,-4
RCCMM-CF,28,0.8467522758987307,1.25,-8
RCCMM-CF,29,0.8466413881321019,1.2,-3
RCCMM-CF,30,0.8468872516446275,1.2,-1
RCCMM-CF,31,0.847667203800917,1.2,-7
RCCMM-CF,32,0.8486244933218152,1.3,-2
RCCMM-CF,33,0.8480314306598447,1.2,-4
RCCMM-CF,34,0.848104109907635,1.25,-1
RCCMM-CF,35,0.8492474583028773,1.2,-2
RCCMM-CF,36,0.8480551033291249,1.2,-7
RCCMM-CF,37,0.8476634660110307,1.25,-3
RCCMM-CF,38,0.8488271645956542,1.5000000000000002,0
RCCMM-CF,39,0.8489978570004653,1.25,-3
RCCMM-CF,40,0.848640690411323,1.25,-7
RCCMM-CF,41,0.849281513721842,1.2,-8
RCCMM-CF,42,0.8481921556249585,1.25,-7
RCCMM-CF,43,0.8490713668682304,1.2,-1
RCCMM-CF,44,0.8495851053226129,1.3,-2
RCCMM-CF,45,0.8492644860123597,1.2,-4
RCCMM-CF,46,0.8482303641437969,1.25,-7
RCCMM-CF,47,0.8495228088245066,1.35,-1
RCCMM-CF,48,0.8486327995215628,1.2,-2
RCCMM-CF,49,0.8493795268788624,1.3,-1
RCCMM-CF,50,0.848359110239883,1.25,-3
RCCMM-CF,51,0.8492528573327132,1.2,-5
RCCMM-CF,52,0.8492462123729151,1.25,-8
RCCMM-CF,53,0.8501067346667552,1.25,-5
RCCMM-CF,54,0.849667336700113,1.25,-3
RCCMM-CF,55,0.850168615854874,1.4500000000000002,-1
RCCMM-CF,56,0.8496183301216028,1.2,-2
RCCMM-CF,57,0.849345886769885,1.3,-7
RCCMM-CF,58,0.8496390956209716,1.4000000000000001,-3
RCCMM-CF,59,0.8509307096817065,1.25,-2
RCCMM-CF,60,0.8493994617582563,1.2,-5
RCCMM-CF,61,0.8494571898465015,1.2,-6
RCCMM-CF,62,0.8507566947969964,1.35,-2
RCCMM-CF,63,0.850536580503688,1.2,-7
RCCMM-CF,64,0.8495950727623098,1.2,-4
RCCMM-CF,65,0.8496395109309589,1.25,-5
RCCMM-CF,66,0.8499032327729417,1.3,-2
RCCMM-CF,67,0.8502030865838262,1.25,-3
RCCMM-CF,68,0.8500053990298359,1.4000000000000001,0
RCCMM-CF,69,0.8497919296963256,1.3,-7
RCCMM-CF,70,0.8495581101734334,1.35,-3
RCCMM-CF,71,0.8496067014419563,1.2,-2
