クラスター数,delta,AUC
7,-6.5,0.6964133284268248
7,-6.8,0.7021516836753204
7,-7.1,0.7053070938784396
7,-7.3999999999999995,0.7037597814876049
7,-7.699999999999999,0.7019329052231857
7,-7.999999999999999,0.6996498273219967
7,-8.299999999999999,0.6980819386928301
7,-8.599999999999998,0.6975619766318891
7,-8.899999999999999,0.6977367381738458
7,-9.2,0.6971905608450252
5,-6.5,0.7006186519886045
5,-6.8,0.7050246552054773
5,-7.1,0.707099997754063
5,-7.3999999999999995,0.7038458596151156
5,-7.699999999999999,0.7005265547498978
5,-7.999999999999999,0.6988490954920589
5,-8.299999999999999,0.6978815942006451
5,-8.599999999999998,0.698562147668631
5,-8.899999999999999,0.697749723145072
5,-9.2,0.6978392081862678
3,-6.5,0.7006024363233665
3,-6.8,0.7084577426950899
3,-7.1,0.709302691841893
3,-7.3999999999999995,0.7047111258536719
3,-7.699999999999999,0.7009269604006751
3,-7.999999999999999,0.6980168859910544
3,-8.299999999999999,0.6978320246431119
3,-8.599999999999998,0.6979988632103424
3,-8.899999999999999,0.69819151277679
3,-9.2,0.6977453107426622
